SURVEYID,TAXON,FAMILY,SUM(TOTAL)
2002502,Pictilabrus laticlavius,Labridae,4
2002502,Scorpis lineolata,Scorpididae,194
2002502,Tetractenos glaber,Tetraodontidae,1
2002502,Trachinops taeniatus,Plesiopidae,17
2002502,Trachurus novaezelandiae,Carangidae,120
2002503,Achoerodus viridis,Labridae,8
2002503,Aplodactylus lophodon,Aplodactylidae,10
2002503,Atypichthys strigatus,Scorpididae,575
2002503,Cheilodactylus fuscus,Cheilodactylidae,6
2002503,Chironemus marmoratus,Chironemidae,2
2002503,Coris sandeyeri,Labridae,2
2002503,Dasyatis brevicaudata,Dasyatidae,1
2002503,Dinolestes lewini,Dinolestidae,22
2002503,Eupetrichthys angustipes,Labridae,1
2002503,Meuschenia flavolineata,Monacanthidae,1
2002503,Notolabrus gymnogenis,Labridae,2
2002503,Olisthops cyanomelas,Odacidae,2
2002503,Ophthalmolepis lineolatus,Labridae,20
2002503,Parma microlepis,Pomacentridae,11
2002503,Parma unifasciata,Pomacentridae,1
2002503,Pictilabrus laticlavius,Labridae,3
2002503,Scorpis lineolata,Scorpididae,92
2002503,Trachurus novaezelandiae,Carangidae,10
2002504,Achoerodus viridis,Labridae,5
2002504,Aplodactylus lophodon,Aplodactylidae,14
2002504,Atypichthys strigatus,Scorpididae,202
2002504,Cheilodactylus fuscus,Cheilodactylidae,40
2002504,Chironemus marmoratus,Chironemidae,2
2002504,Chromis hypsilepis,Pomacentridae,1
2002504,Dinolestes lewini,Dinolestidae,27
2002504,Eubalichthys bucephalus,Monacanthidae,1
2002504,Eupetrichthys angustipes,Labridae,4
2002504,Meuschenia flavolineata,Monacanthidae,1
2002504,Notolabrus gymnogenis,Labridae,11
2002504,Olisthops cyanomelas,Odacidae,9
2002504,Ophthalmolepis lineolatus,Labridae,55
2002504,Parma microlepis,Pomacentridae,32
2002504,Parma unifasciata,Pomacentridae,7
2002504,Pempheris affinis,Pempherididae,2
2002504,Pictilabrus laticlavius,Labridae,4
2002504,Scorpis lineolata,Scorpididae,28
2002504,Trachinops taeniatus,Plesiopidae,60
2002504,Upeneichthys lineatus,Mullidae,1
2002505,Achoerodus viridis,Labridae,11
2002505,Aplodactylus lophodon,Aplodactylidae,7
2002505,Atypichthys strigatus,Scorpididae,26
2002505,Cheilodactylus fuscus,Cheilodactylidae,7
2002505,Chromis hypsilepis,Pomacentridae,1
2002505,Dinolestes lewini,Dinolestidae,10
2002505,Eupetrichthys angustipes,Labridae,10
2002505,Notolabrus gymnogenis,Labridae,1
2002505,Olisthops cyanomelas,Odacidae,6
2002505,Ophthalmolepis lineolatus,Labridae,41
2002505,Parma microlepis,Pomacentridae,1
2002505,Pictilabrus laticlavius,Labridae,1
2002505,Scorpis lineolata,Scorpididae,2
2002505,Trachurus novaezelandiae,Carangidae,350
2002505,Upeneichthys lineatus,Mullidae,2
2002505,Urolophus kapalensis,Urolophidae,3
2002571,Achoerodus viridis,Labridae,2
2002571,Atypichthys strigatus,Scorpididae,65
2002571,Cheilodactylus fuscus,Cheilodactylidae,5
2002571,Enoplosus armatus,Enoplosidae,2
2002571,Eupetrichthys angustipes,Labridae,3
2002571,Olisthops cyanomelas,Odacidae,2
2002571,Ophthalmolepis lineolatus,Labridae,20
2002571,Pagrus auratus,Sparidae,1
2002571,Parma microlepis,Pomacentridae,10
2002571,Pictilabrus laticlavius,Labridae,14
2002571,Scorpis lineolata,Scorpididae,15
2002571,Trachurus novaezelandiae,Carangidae,500
2002571,Upeneichthys lineatus,Mullidae,10
2002573,Atypichthys strigatus,Scorpididae,50
2002573,Cheilodactylus fuscus,Cheilodactylidae,8
2002573,Enoplosus armatus,Enoplosidae,15
2002573,Eupetrichthys angustipes,Labridae,5
2002573,Notolabrus gymnogenis,Labridae,2
2002573,Olisthops cyanomelas,Odacidae,4
2002573,Ophthalmolepis lineolatus,Labridae,19
2002573,Pagrus auratus,Sparidae,2
2002573,Parma microlepis,Pomacentridae,11
2002573,Pempheris compressa,Pempherididae,10
2002573,Pictilabrus laticlavius,Labridae,13
2002573,Scorpis lineolata,Scorpididae,25
2002573,Siphamia cephalotes,Apogonidae,1
2002573,Trachurus novaezelandiae,Carangidae,8000
2002573,Upeneichthys lineatus,Mullidae,4
2002629,Achoerodus viridis,Labridae,1
2002629,Atypichthys strigatus,Scorpididae,170
2002629,Halichoeres nebulosus,Labridae,6
2002629,Hypoplectrodes maccullochi,Serranidae,1
2002629,Labroides dimidiatus,Labridae,1
2002629,Notolabrus gymnogenis,Labridae,15
2002629,Ophthalmolepis lineolatus,Labridae,20
2002629,Parma polylepis,Pomacentridae,1
2002629,Parma unifasciata,Pomacentridae,21
2002629,Parupeneus spilurus,Mullidae,1
2002629,Pictilabrus laticlavius,Labridae,3
2002629,Pomacentrus bankanensis,Pomacentridae,1
2002629,Prionurus microlepidotus,Acanthuridae,23
2002629,Pseudolabrus guentheri,Labridae,2
2002629,Schuettea scalaripinnis,Monodactylidae,610
2002629,Scorpis lineolata,Scorpididae,91
2002629,Trachinops taeniatus,Plesiopidae,275
2002629,Trachurus novaezelandiae,Carangidae,20
2002630,Achoerodus viridis,Labridae,1
2002630,Apogon limenus,Apogonidae,1
2002630,Apogon nigrofasciatus,Apogonidae,1
2002630,Atypichthys strigatus,Scorpididae,300
2002630,Enoplosus armatus,Enoplosidae,1
2002630,Eupetrichthys angustipes,Labridae,1
2002630,Halichoeres nebulosus,Labridae,7
2002630,Hypoplectrodes maccullochi,Serranidae,1
2002630,Labroides dimidiatus,Labridae,4
2002630,Notolabrus gymnogenis,Labridae,7
2002630,Olisthops cyanomelas,Odacidae,3
2002630,Ophthalmolepis lineolatus,Labridae,15
2002630,Parma unifasciata,Pomacentridae,12
2002630,Parupeneus spilurus,Mullidae,1
2002630,Pempheris affinis,Pempherididae,51
2002630,Pictilabrus laticlavius,Labridae,1
2002630,Pomacentrus coelestis,Pomacentridae,1
2002630,Prionurus microlepidotus,Acanthuridae,21
2002630,Schuettea scalaripinnis,Monodactylidae,550
2002630,Scorpaena cardinalis,Scorpaenidae,1
2002630,Trachinops taeniatus,Plesiopidae,220
2002630,Trachurus novaezelandiae,Carangidae,175
2002631,Acanthopagrus australis,Sparidae,390
2002631,Achoerodus viridis,Labridae,81
2002631,Atypichthys strigatus,Scorpididae,184
2002631,Austrolabrus maculatus,Labridae,1
2002631,Brachaluteres jacksonianus,Monacanthidae,1
2002631,Centropogon australis,Scorpaenidae,5
2002631,Cheilodactylus fuscus,Cheilodactylidae,74
2002631,Cheilodactylus vestitus,Cheilodactylidae,8
2002631,Chromis hypsilepis,Pomacentridae,3
2002631,Coris picta,Labridae,1
2002631,Dicotylichthys punctulatus,Diodontidae,1
2002631,Enoplosus armatus,Enoplosidae,1
2002631,Eupetrichthys angustipes,Labridae,7
2002631,Gerres subfasciatus,Gerreidae,27
2002631,Girella tricuspidata,Kyphosidae,5
2002631,Mecaenichthys immaculatus,Pomacentridae,2
2002631,Microcanthus strigatus,Scorpididae,10
2002631,Monacanthus chinensis,Monacanthidae,3
2002631,Notolabrus gymnogenis,Labridae,17
2002631,Ophthalmolepis lineolatus,Labridae,31
2002631,Parma microlepis,Pomacentridae,2
2002631,Parupeneus spilurus,Mullidae,5
2002631,Pictilabrus laticlavius,Labridae,2
2002631,Prionurus maculatus,Acanthuridae,73
2002631,Prionurus microlepidotus,Acanthuridae,11
2002631,Pseudolabrus guentheri,Labridae,23
2002631,Rhabdosargus sarba,Sparidae,150
2002631,Scorpis lineolata,Scorpididae,30
2002631,Stethojulis interrupta,Labridae,26
2002631,Thalassoma lunare,Labridae,7
2002631,Threpterius maculosus,Chironemidae,1
2002631,Trachinops taeniatus,Plesiopidae,13
2002631,Upeneichthys lineatus,Mullidae,2
2002637,Acanthopagrus australis,Sparidae,1
2002637,Achoerodus viridis,Labridae,6
2002637,Atypichthys strigatus,Scorpididae,80
2002637,Canthigaster callisterna,Tetraodontidae,1
2002637,Chaetodon guentheri,Chaetodontidae,2
2002637,Cheilodactylus fuscus,Cheilodactylidae,14
2002637,Chromis hypsilepis,Pomacentridae,205
2002637,Eupetrichthys angustipes,Labridae,1
2002637,Heteroscarus acroptilus,Odacidae,1
2002637,Hypoplectrodes maccullochi,Serranidae,10
2002637,Notolabrus gymnogenis,Labridae,19
2002637,Ophthalmolepis lineolatus,Labridae,2
2002637,Parma microlepis,Pomacentridae,25
2002637,Parupeneus spilurus,Mullidae,2
2002637,Pempheris affinis,Pempherididae,1
2002637,Pictilabrus laticlavius,Labridae,1
2002637,Pomacentrus australis,Pomacentridae,2
2002637,Prionurus microlepidotus,Acanthuridae,6
2002637,Scorpaena cardinalis,Scorpaenidae,1
2002637,Scorpis lineolata,Scorpididae,1
2002637,Trachinops taeniatus,Plesiopidae,188
2002647,Acanthurus dussumieri,Acanthuridae,2
2002647,Atypichthys strigatus,Scorpididae,65
2002647,Cheilodactylus fuscus,Cheilodactylidae,4
2002647,Eupetrichthys angustipes,Labridae,2
2002647,Notolabrus gymnogenis,Labridae,10
2002647,Olisthops cyanomelas,Odacidae,3
2002647,Ophthalmolepis lineolatus,Labridae,31
2002647,Parma microlepis,Pomacentridae,2
2002647,Parma unifasciata,Pomacentridae,10
2002647,Parupeneus spilurus,Mullidae,15
2002647,Pictilabrus laticlavius,Labridae,3
2002647,Plagiotremus tapeinosoma,Blenniidae,2
2002647,Pseudolabrus guentheri,Labridae,1
2002647,Schuettea scalaripinnis,Monodactylidae,60
2002647,Scorpaena cardinalis,Scorpaenidae,1
2002647,Scorpis lineolata,Scorpididae,2
2002647,Tetractenos glaber,Tetraodontidae,1
2002647,Thalassoma lunare,Labridae,1
2002647,Trinorfolkia clarkei,Tripterygiidae,1
2002649,Acanthistius ocellatus,Serranidae,2
2002649,Acanthopagrus australis,Sparidae,92
2002649,Achoerodus viridis,Labridae,7
2002649,Atypichthys strigatus,Scorpididae,410
2002649,Austrolabrus maculatus,Labridae,1
2002649,Chaetodon guentheri,Chaetodontidae,1
2002649,Cheilodactylus fuscus,Cheilodactylidae,10
2002649,Chironemus marmoratus,Chironemidae,2
2002649,Chromis hypsilepis,Pomacentridae,3
2002649,Coris picta,Labridae,7
2002649,Coris pictoides,Labridae,3
2002649,Coris sandeyeri,Labridae,1
2002649,Dinolestes lewini,Dinolestidae,1
2002649,Enoplosus armatus,Enoplosidae,2
2002649,Hypoplectrodes maccullochi,Serranidae,10
2002649,Labroides dimidiatus,Labridae,1
2002649,Lotella rhacina,Moridae,1
2002649,Mecaenichthys immaculatus,Pomacentridae,5
2002649,Meuschenia trachylepis,Monacanthidae,1
2002649,Notolabrus gymnogenis,Labridae,14
2002649,Ophthalmolepis lineolatus,Labridae,16
2002649,Pagrus auratus,Sparidae,1
2002649,Parma microlepis,Pomacentridae,7
2002649,Parma unifasciata,Pomacentridae,55
2002649,Parupeneus spilurus,Mullidae,9
2002649,Pempheris affinis,Pempherididae,35
2002649,Pempheris compressa,Pempherididae,5
2002649,Plagiotremus tapeinosoma,Blenniidae,3
2002649,Pomacentrus coelestis,Pomacentridae,2
2002649,Scorpaena cardinalis,Scorpaenidae,1
2002649,Stethojulis interrupta,Labridae,1
2002649,Thalassoma amblycephalum,Labridae,1
2002649,Thalassoma lunare,Labridae,2
2002649,Trachinops taeniatus,Plesiopidae,57
2002649,Trachurus novaezelandiae,Carangidae,1020
2002649,Trinorfolkia clarkei,Tripterygiidae,1
2002653,Acanthurus dussumieri,Acanthuridae,1
2002653,Acanthurus olivaceus,Acanthuridae,1
2002653,Achoerodus viridis,Labridae,3
2002653,Anampses caeruleopunctatus,Labridae,4
2002653,Atypichthys strigatus,Scorpididae,1200
2002653,Aulopus purpurissatus,Aulopidae,2
2002653,Cheilodactylus fuscus,Cheilodactylidae,1
2002653,Chromis hypsilepis,Pomacentridae,38
2002653,Eupetrichthys angustipes,Labridae,2
2002653,Halichoeres nebulosus,Labridae,11
2002653,Hypoplectrodes maccullochi,Serranidae,1
2002653,Notolabrus gymnogenis,Labridae,20
2002653,Ophthalmolepis lineolatus,Labridae,12
2002653,Parma microlepis,Pomacentridae,1
2002653,Parma unifasciata,Pomacentridae,33
2002653,Parupeneus spilurus,Mullidae,25
2002653,Pictilabrus laticlavius,Labridae,3
2002653,Plagiotremus tapeinosoma,Blenniidae,1
2002653,Pomacentrus coelestis,Pomacentridae,22
2002653,Scorpis lineolata,Scorpididae,1
2002653,Stethojulis interrupta,Labridae,6
2002653,Thalassoma lutescens,Labridae,1
2002653,Trachinops taeniatus,Plesiopidae,131
2002653,Trinorfolkia clarkei,Tripterygiidae,1
2002653,Trygonoptera testacea,Urolophidae,1
2002677,Achoerodus viridis,Labridae,8
2002677,Aplodactylus lophodon,Aplodactylidae,2
2002677,Apogon limenus,Apogonidae,29
2002677,Atypichthys strigatus,Scorpididae,112
2002677,Brachaluteres jacksonianus,Monacanthidae,1
2002677,Chaetodon trifascialis,Chaetodontidae,2
2002677,Cheilodactylus fuscus,Cheilodactylidae,12
2002677,Chromis hypsilepis,Pomacentridae,20
2002677,Coris sandeyeri,Labridae,6
2002677,Eupetrichthys angustipes,Labridae,2
2002677,Gerres subfasciatus,Gerreidae,2
2002677,Girella tricuspidata,Kyphosidae,51
2002677,Labroides dimidiatus,Labridae,1
2002677,Mecaenichthys immaculatus,Pomacentridae,2
2002677,Mugil cephalus,Mugilidae,100
2002677,Neoodax balteatus,Odacidae,8
2002677,Notolabrus gymnogenis,Labridae,23
2002677,Ophthalmolepis lineolatus,Labridae,23
2002677,Pagrus auratus,Sparidae,1
2002677,Parma microlepis,Pomacentridae,5
2002677,Parupeneus barberinus,Mullidae,1
2002677,Parupeneus spilurus,Mullidae,98
2002677,Pempheris affinis,Pempherididae,31
2002677,Pempheris multiradiata,Pempherididae,1
2002677,Pictilabrus laticlavius,Labridae,12
2002677,Pomacentrus coelestis,Pomacentridae,2
2002677,Prionurus microlepidotus,Acanthuridae,1
2002677,Ptereleotris monoptera,Microdesmidae,80
2002677,Scorpis lineolata,Scorpididae,94
2002677,Stethojulis interrupta,Labridae,7
2002677,Thalassoma lunare,Labridae,4
2002677,Trachinops taeniatus,Plesiopidae,120
2002677,Upeneichthys lineatus,Mullidae,3
2002678,Acanthopagrus australis,Sparidae,10
2002678,Apogon limenus,Apogonidae,24
2002678,Atypichthys strigatus,Scorpididae,425
2002678,Chaetodon trifascialis,Chaetodontidae,2
2002678,Cheilodactylus fuscus,Cheilodactylidae,17
2002678,Chelmonops truncatus,Chaetodontidae,2
2002678,Eupetrichthys angustipes,Labridae,30
2002678,Gerres subfasciatus,Gerreidae,1
2002678,Girella tricuspidata,Kyphosidae,41
2002678,Lotella rhacina,Moridae,1
2002678,Notolabrus gymnogenis,Labridae,8
2002678,Ophthalmolepis lineolatus,Labridae,14
2002678,Paracaesio xanthura,Lutjanidae,2
2002678,Parma microlepis,Pomacentridae,11
2002678,Parupeneus spilurus,Mullidae,40
2002678,Pelates sexlineatus,Terapontidae,1
2002678,Pempheris compressa,Pempherididae,61
2002678,Pictilabrus laticlavius,Labridae,7
2002678,Plagiotremus tapeinosoma,Blenniidae,3
2002678,Schuettea scalaripinnis,Monodactylidae,3
2002678,Scorpis lineolata,Scorpididae,133
2002678,Stethojulis interrupta,Labridae,6
2002678,Thalassoma lunare,Labridae,15
2002678,Trachinops taeniatus,Plesiopidae,53
2002678,Trachurus novaezelandiae,Carangidae,41
2002679,Achoerodus viridis,Labridae,1
2002679,Apogon limenus,Apogonidae,20
2002679,Atypichthys strigatus,Scorpididae,80
2002679,Brachaluteres jacksonianus,Monacanthidae,1
2002679,Chaetodon guentheri,Chaetodontidae,1
2002679,Cheilodactylus fuscus,Cheilodactylidae,2
2002679,Heteroscarus acroptilus,Odacidae,1
2002679,Hypoplectrodes nigroruber,Serranidae,2
2002679,Notolabrus gymnogenis,Labridae,3
2002679,Ophthalmolepis lineolatus,Labridae,7
2002679,Parma microlepis,Pomacentridae,3
2002679,Parupeneus spilurus,Mullidae,26
2002679,Pelates sexlineatus,Terapontidae,1
2002679,Pictilabrus laticlavius,Labridae,10
2002679,Pseudolabrus guentheri,Labridae,2
2002679,Scorpaena cardinalis,Scorpaenidae,1
2002679,Scorpis lineolata,Scorpididae,6
2002679,Stethojulis interrupta,Labridae,3
2002679,Synodus dermatogenys,Synodontidae,1
2002679,Thalassoma lunare,Labridae,7
2002679,Upeneichthys lineatus,Mullidae,6
2002680,Achoerodus viridis,Labridae,1
2002680,Aplodactylus lophodon,Aplodactylidae,4
2002680,Apogon limenus,Apogonidae,2
2002680,Atypichthys strigatus,Scorpididae,52
2002680,Austrolabrus maculatus,Labridae,4
2002680,Brachaluteres jacksonianus,Monacanthidae,1
2002680,Chaetodon guentheri,Chaetodontidae,1
2002680,Cheilodactylus fuscus,Cheilodactylidae,9
2002680,Girella tricuspidata,Kyphosidae,12
2002680,Hypoplectrodes nigroruber,Serranidae,1
2002680,Mecaenichthys immaculatus,Pomacentridae,1
2002680,Notolabrus gymnogenis,Labridae,8
2002680,Ophthalmolepis lineolatus,Labridae,6
2002680,Parma microlepis,Pomacentridae,1
2002680,Parupeneus multifasciatus,Mullidae,3
2002680,Parupeneus spilurus,Mullidae,35
2002680,Pempheris compressa,Pempherididae,60
2002680,Pictilabrus laticlavius,Labridae,3
2002680,Plagiotremus tapeinosoma,Blenniidae,4
2002680,Pomacentrus coelestis,Pomacentridae,6
2002680,Pseudolabrus guentheri,Labridae,1
2002680,Ptereleotris monoptera,Microdesmidae,112
2002680,Schuettea scalaripinnis,Monodactylidae,50
2002680,Scorpis lineolata,Scorpididae,25
2002680,Stethojulis interrupta,Labridae,6
2002680,Thalassoma lunare,Labridae,1
2002680,Trachinops taeniatus,Plesiopidae,122
2002680,Trachurus novaezelandiae,Carangidae,50
2002681,Acanthaluteres vittiger,Monacanthidae,38
2002681,Acanthopagrus australis,Sparidae,3
2002681,Achoerodus viridis,Labridae,1
2002681,Aplodactylus lophodon,Aplodactylidae,12
2002681,Atypichthys strigatus,Scorpididae,93
2002681,Brachaluteres jacksonianus,Monacanthidae,2
2002681,Cheilodactylus fuscus,Cheilodactylidae,8
2002681,Chromis hypsilepis,Pomacentridae,5
2002681,Coris dorsomacula,Labridae,2
2002681,Dinolestes lewini,Dinolestidae,3
2002681,Enoplosus armatus,Enoplosidae,40
2002681,Eupetrichthys angustipes,Labridae,47
2002681,Girella elevata,Kyphosidae,2
2002681,Girella tricuspidata,Kyphosidae,209
2002681,Halichoeres nebulosus,Labridae,3
2002681,Heteroclinus roseus,Clinidae,2
2002681,Heteroscarus acroptilus,Odacidae,18
2002681,Hypnos monopterygius,Hypnidae,1
2002681,Mecaenichthys immaculatus,Pomacentridae,1
2002681,Meuschenia trachylepis,Monacanthidae,2
2002681,Neoodax balteatus,Odacidae,26
2002681,Notolabrus gymnogenis,Labridae,53
2002681,Olisthops cyanomelas,Odacidae,17
2002681,Ophthalmolepis lineolatus,Labridae,61
2002681,Parma microlepis,Pomacentridae,19
2002681,Parupeneus ciliatus,Mullidae,10
2002681,Parupeneus spilurus,Mullidae,15
2002681,Pempheris affinis,Pempherididae,3
2002681,Pempheris compressa,Pempherididae,170
2002681,Pempheris multiradiata,Pempherididae,3
2002681,Pictilabrus laticlavius,Labridae,11
2002681,Plagiotremus tapeinosoma,Blenniidae,5
2002681,Pseudolabrus guentheri,Labridae,1
2002681,Schuettea scalaripinnis,Monodactylidae,71
2002681,Scobinichthys granulatus,Monacanthidae,6
2002681,Siganus fuscescens,Siganidae,1
2002681,Stethojulis interrupta,Labridae,11
2002681,Trachinops taeniatus,Plesiopidae,37
2002681,Trachurus novaezelandiae,Carangidae,2
2002681,Upeneichthys lineatus,Mullidae,17
2002682,Acanthaluteres vittiger,Monacanthidae,7
2002682,Acanthopagrus australis,Sparidae,1
2002682,Aplodactylus lophodon,Aplodactylidae,9
2002682,Atypichthys strigatus,Scorpididae,1
2002682,Cheilodactylus fuscus,Cheilodactylidae,7
2002682,Cnidoglanis macrocephalus,Plotosidae,2
2002682,Dinolestes lewini,Dinolestidae,3
2002682,Enoplosus armatus,Enoplosidae,9
2002682,Eupetrichthys angustipes,Labridae,14
2002682,Girella tricuspidata,Kyphosidae,167
2002682,Heteroscarus acroptilus,Odacidae,8
2002682,Meuschenia trachylepis,Monacanthidae,1
2002682,Mugil cephalus,Mugilidae,70
2002682,Neoodax balteatus,Odacidae,2
2002682,Notolabrus gymnogenis,Labridae,33
2002682,Olisthops cyanomelas,Odacidae,10
2002682,Ophthalmolepis lineolatus,Labridae,36
2002682,Parma microlepis,Pomacentridae,1
2002682,Parupeneus ciliatus,Mullidae,9
2002682,Pempheris affinis,Pempherididae,17
2002682,Pictilabrus laticlavius,Labridae,20
2002682,Scobinichthys granulatus,Monacanthidae,5
2002682,Siganus fuscescens,Siganidae,2
2002682,Stethojulis interrupta,Labridae,10
2002682,Trachurus novaezelandiae,Carangidae,3
2002682,Trygonoptera spp.,Urolophidae,1
2002682,Upeneichthys lineatus,Mullidae,6
2002682,Urolophus spp.,Urolophidae,1
2002683,Abudefduf vaigiensis,Pomacentridae,1
2002683,Acanthaluteres vittiger,Monacanthidae,4
2002683,Acanthistius ocellatus,Serranidae,1
2002683,Acanthopagrus australis,Sparidae,9
2002683,Acanthurus nigrofuscus,Acanthuridae,1
2002683,Acanthurus olivaceus,Acanthuridae,2
2002683,Achoerodus viridis,Labridae,7
2002683,Aplodactylus lophodon,Aplodactylidae,6
2002683,Apogon aureus,Apogonidae,1
2002683,Apogon properuptus,Apogonidae,1
2002683,Atypichthys strigatus,Scorpididae,50
2002683,Austrolabrus maculatus,Labridae,11
2002683,Brachaluteres jacksonianus,Monacanthidae,1
2002683,Cheilodactylus fuscus,Cheilodactylidae,8
2002683,Chromis hypsilepis,Pomacentridae,16
2002683,Coris picta,Labridae,2
2002683,Dasyatis brevicaudata,Dasyatidae,1
2002683,Dinolestes lewini,Dinolestidae,3
2002683,Eupetrichthys angustipes,Labridae,14
2002683,Girella tricuspidata,Kyphosidae,140
2002683,Halichoeres nebulosus,Labridae,13
2002683,Heteroscarus acroptilus,Odacidae,2
2002683,Hypoplectrodes maccullochi,Serranidae,2
2002683,Kyphosus sydneyanus,Kyphosidae,1
2002683,Labroides dimidiatus,Labridae,1
2002683,Mecaenichthys immaculatus,Pomacentridae,1
2002683,Meuschenia trachylepis,Monacanthidae,1
2002683,Mugil cephalus,Mugilidae,10
2002683,Notolabrus gymnogenis,Labridae,13
2002683,Olisthops cyanomelas,Odacidae,4
2002683,Ophthalmolepis lineolatus,Labridae,21
2002683,Orectolobus halei,Orectolobidae,1
2002683,Parma microlepis,Pomacentridae,34
2002683,Parupeneus spilurus,Mullidae,19
2002683,Pempheris affinis,Pempherididae,10
2002683,Pempheris compressa,Pempherididae,2
2002683,Pempheris multiradiata,Pempherididae,1
2002683,Pictilabrus laticlavius,Labridae,12
2002683,Plagiotremus tapeinosoma,Blenniidae,1
2002683,Pomacentrus coelestis,Pomacentridae,3
2002683,Prionurus microlepidotus,Acanthuridae,2
2002683,Pseudocaranx georgianus,Carangidae,8
2002683,Scobinichthys granulatus,Monacanthidae,3
2002683,Scorpis lineolata,Scorpididae,6
2002683,Stethojulis interrupta,Labridae,6
2002683,Thalassoma lunare,Labridae,1
2002683,Thalassoma lutescens,Labridae,1
2002683,Trachinops taeniatus,Plesiopidae,35
2002683,Trachurus novaezelandiae,Carangidae,640
2002683,Upeneichthys lineatus,Mullidae,4
2002684,Achoerodus viridis,Labridae,3
2002684,Aplodactylus lophodon,Aplodactylidae,2
2002684,Atypichthys strigatus,Scorpididae,70
2002684,Cheilodactylus fuscus,Cheilodactylidae,1
2002684,Chromis hypsilepis,Pomacentridae,40
2002684,Dinolestes lewini,Dinolestidae,3
2002684,Enoplosus armatus,Enoplosidae,1
2002684,Eupetrichthys angustipes,Labridae,11
2002684,Girella tricuspidata,Kyphosidae,320
2002684,Heteroscarus acroptilus,Odacidae,1
2002684,Hypoplectrodes maccullochi,Serranidae,1
2002684,Kyphosus sydneyanus,Kyphosidae,42
2002684,Notolabrus gymnogenis,Labridae,11
2002684,Olisthops cyanomelas,Odacidae,11
2002684,Ophthalmolepis lineolatus,Labridae,20
2002684,Orectolobus halei,Orectolobidae,1
2002684,Parma microlepis,Pomacentridae,2
2002684,Parupeneus multifasciatus,Mullidae,5
2002684,Parupeneus spilurus,Mullidae,8
2002684,Pictilabrus laticlavius,Labridae,1
2002684,Pseudocaranx georgianus,Carangidae,1
2002684,Schuettea scalaripinnis,Monodactylidae,250
2002684,Siganus fuscescens,Siganidae,3
2002684,Upeneichthys lineatus,Mullidae,1
2002685,Acanthopagrus australis,Sparidae,9
2002685,Aplodactylus lophodon,Aplodactylidae,7
2002685,Atypichthys strigatus,Scorpididae,100
2002685,Cheilodactylus fuscus,Cheilodactylidae,11
2002685,Dinolestes lewini,Dinolestidae,2
2002685,Enoplosus armatus,Enoplosidae,8
2002685,Hypoplectrodes maccullochi,Serranidae,1
2002685,Mecaenichthys immaculatus,Pomacentridae,2
2002685,Notolabrus gymnogenis,Labridae,6
2002685,Ophthalmolepis lineolatus,Labridae,11
2002685,Parma microlepis,Pomacentridae,10
2002685,Parupeneus spilurus,Mullidae,1
2002685,Pempheris compressa,Pempherididae,7
2002685,Pempheris multiradiata,Pempherididae,4
2002685,Prionurus microlepidotus,Acanthuridae,2
2002685,Pseudocaranx georgianus,Carangidae,1
2002685,Schuettea scalaripinnis,Monodactylidae,1350
2002685,Scorpis lineolata,Scorpididae,2
2002685,Trachinops taeniatus,Plesiopidae,17
2002685,Trachurus novaezelandiae,Carangidae,3151
2002685,Upeneichthys lineatus,Mullidae,11
2002686,Acanthopagrus australis,Sparidae,2
2002686,Achoerodus viridis,Labridae,2
2002686,Atypichthys strigatus,Scorpididae,90
2002686,Brachaluteres jacksonianus,Monacanthidae,2
2002686,Cheilodactylus fuscus,Cheilodactylidae,6
2002686,Cheilodactylus nigripes,Cheilodactylidae,1
2002686,Cheilodactylus vestitus,Cheilodactylidae,1
2002686,Chelmonops truncatus,Chaetodontidae,1
2002686,Enoplosus armatus,Enoplosidae,9
2002686,Hypoplectrodes maccullochi,Serranidae,1
2002686,Labroides dimidiatus,Labridae,1
2002686,Meuschenia trachylepis,Monacanthidae,1
2002686,Notolabrus gymnogenis,Labridae,6
2002686,Olisthops cyanomelas,Odacidae,5
2002686,Ophthalmolepis lineolatus,Labridae,13
2002686,Parma microlepis,Pomacentridae,8
2002686,Parupeneus spilurus,Mullidae,3
2002686,Pempheris compressa,Pempherididae,14
2002686,Pictilabrus laticlavius,Labridae,1
2002686,Plagiotremus rhinorhynchos,Blenniidae,1
2002686,Prionurus microlepidotus,Acanthuridae,1
2002686,Schuettea scalaripinnis,Monodactylidae,8
2002686,Scorpaena cardinalis,Scorpaenidae,1
2002686,Scorpis lineolata,Scorpididae,6
2002686,Thalassoma lunare,Labridae,4
2002686,Trachinops taeniatus,Plesiopidae,45
2002686,Trachurus novaezelandiae,Carangidae,1810
2002686,Trinorfolkia clarkei,Tripterygiidae,1
2002687,Atypichthys strigatus,Scorpididae,62
2002687,Dinolestes lewini,Dinolestidae,5
2002687,Girella tricuspidata,Kyphosidae,53
2002687,Labroides dimidiatus,Labridae,2
2002687,Meuschenia flavolineata,Monacanthidae,1
2002687,Notolabrus gymnogenis,Labridae,2
2002687,Ophthalmolepis lineolatus,Labridae,4
2002687,Parma microlepis,Pomacentridae,6
2002687,Prionurus maculatus,Acanthuridae,1
2002687,Prionurus microlepidotus,Acanthuridae,37
2002687,Scorpis lineolata,Scorpididae,36
2002687,Trachinops taeniatus,Plesiopidae,43
2002687,Trachurus novaezelandiae,Carangidae,2600
2002688,Achoerodus viridis,Labridae,1
